query_id,system,model,entities,inline_citations,terminal_sources,code,notes
q001,Gemini,gemini-3.5-flash,Backlog; Trello; Asana; Monday.com; Jira Software; Notion,no,no,no,"Categorized recommendations of six project management tools with features, use cases, and pricing, plus a selection guide."
q001,ChatGPT,gpt-5.5-2026-04-23,Asana; Trello; Notion; Jira; GitHub Projects; Backlog; ClickUp; monday.com,no,no,no,"Recommends eight project management tools organized by use case with a comparison table and a concluding summary, without any citations."
q001,Claude,claude-opus-4-8,Trello; Asana; Notion; ClickUp; monday.com; Jira; GitHub Projects; Linear; Backlog,no,no,no,"Categorized list of nine project management tools grouped by use case, ending with follow-up questions to refine the recommendation."
q001,Perplexity,sonar,Asana; Backlog; Jira; Trello; monday.com; Notion,yes,no,no,"Recommends five main project management tools with per-tool descriptions plus use-case guidance, using inline citation markers but no terminal source list."
q002,Gemini,gemini-3.5-flash,HubSpot CRM; Pipedrive; Zoho CRM; Monday.com; Less Annoying CRM,no,no,no,"A categorized breakdown of five recommended small-business CRMs with pros, cons, and pricing, plus a decision guide, but no citations or sources."
q002,ChatGPT,gpt-5.5-2026-04-23,HubSpot CRM; Zoho CRM; Pipedrive; Freshsales; Salesforce Starter,no,no,no,"A table of five CRM options with use-case recommendations, ultimately favoring HubSpot CRM or Zoho CRM for most small businesses."
q002,Claude,claude-opus-4-8,HubSpot CRM; Pipedrive; Zoho CRM; Freshsales; Copper; Insightly; Dynamics 365; Less Annoying CRM,no,no,no,"Categorized CRM recommendations with brief pros/cons, follow-up clarifying questions, and no citations."
q002,Perplexity,sonar,Bigin by Zoho CRM; Salesforce; HubSpot CRM; Pipedrive,yes,no,no,Recommends four small-business CRMs with use-case-based guidance and inline citations but no terminal sources list.
q003,Gemini,gemini-3.5-flash,,no,no,no,"A structured Japanese guide on improving sleep quality organized by time of day and bedroom environment, with no specific products or citations."
q003,ChatGPT,gpt-5.5-2026-04-23,起きる時間を固定する; 朝に日光を浴びる; カフェインは午後以降控える; 寝る前のスマホ・PCを減らす; 寝室を快適にする; 寝る前のルーティンを作る; 入浴は寝る1〜2時間前; 昼寝は短めにする; お酒に頼らない; 眠れないときは一度ベッドを出る,no,no,no,"Lists ten sleep-hygiene tips with a highlighted top-three and advice to consult a doctor for persistent issues, without any citations."
q003,Claude,claude-opus-4-8,,no,no,no,"A structured, emoji-headed guide on improving sleep quality covering environment, rhythm, diet, and pre-bed habits, with no citations or specific named products."
q003,Perplexity,sonar,毎日ほぼ同じ時間に起きる; 朝起きたら日光を浴びる; 夜はスマホ・PCを控える; 寝室を快適に保つ; 就寝前に入浴して体を温める; 日中に適度な運動をする; 夕食は寝る3時間前までに済ませる; 昼寝は短くする,yes,no,no,A structured list of sleep-quality improvement tips with inline citation markers but no terminal source list.
q004,Gemini,gemini-3.5-flash,LangChain; LlamaIndex; ChromaDB; FAISS; Pinecone; Weaviate; Qdrant; pgvector; OpenAI; Cohere; HuggingFace; GPT-4o; Anthropic; Llama 3; Ollama; BGE-Reranker,no,no,yes,"A step-by-step RAG implementation guide with architecture diagram, a full LangChain/ChromaDB/OpenAI Python example, and production tuning advice on chunking, retrieval, reranking, and vector DB selection."
q004,ChatGPT,gpt-5.5-2026-04-23,Chroma; FAISS; Pinecone; Weaviate; Qdrant; Milvus; PostgreSQL + pgvector; OpenAI text-embedding-3-small/large; Cohere embeddings; Voyage embeddings; Hugging Face/Sentence Transformers; BGE embeddings; GPT-4.1/GPT-4o; Claude; Gemini; Llama/Mistral; Cohere Rerank; BGE reranker; Jina reranker,no,no,yes,"A detailed tutorial on implementing RAG with a Chroma/OpenAI code example plus component options and production considerations, containing multiple code blocks but no citations or sources list."
q004,Claude,claude-opus-4-8,Chroma; Pinecone; Weaviate; Qdrant; pgvector; sentence-transformers; OpenAI; LangChain; Cohere Rerank; RAGAS,no,no,yes,"A hands-on RAG tutorial with Python code using Chroma and OpenAI, a vector DB comparison table, production tips, and a LangChain alternative."
q004,Perplexity,sonar,Pinecone; Weaviate; Qdrant; Milvus; FAISS; Chroma,yes,no,yes,"A step-by-step RAG implementation guide with pseudocode and a list of vector databases, using inline citations but no terminal source list."
q005,Gemini,gemini-3.5-flash,福島邦彦; 甘利俊一; 松尾豊; 杉山将; 岡野原大輔,no,no,no,"Lists five representative Japanese AI researchers with titles, fields, and achievements, but no citations or sources."
q005,ChatGPT,gpt-5.5-2026-04-23,甘利俊一; 松尾豊; 杉山将; 辻井潤一; 石黒浩,no,no,no,"Lists five notable Japanese AI researchers with brief descriptions of their fields and affiliations, without citations or sources."
q005,Claude,claude-opus-4-8,松尾豊; 甘利俊一; 中島秀之; 石黒浩; 新井紀子,no,no,no,"Lists five notable Japanese AI researchers with brief bios, no citations or code."
q005,Perplexity,sonar,松尾豊; 石黒浩; 栗原聡; 松原仁; 甘利俊一,yes,no,no,Lists five representative Japanese AI researchers with brief descriptions and inline citations but no terminal source list.
