query_id,system,model,entities,inline_citations,terminal_sources,code,notes
q001,Gemini,Gemini 3.5 Flash,Trello; Asana; Notion; Jira Software; Backlog,no,no,no,Five ranked project-management tools. Canonical three present. Backlog present.
q001,ChatGPT,GPT 5.5,Notion; Asana; Trello; Jira; Backlog; ClickUp; monday.com; Microsoft Planner; Microsoft Project,no,no,no,Purpose-based comparison plus personal ranking. Canonical three present. Backlog ranked high in personal recommendations.
q001,Claude,Claude Opus 4.8,Trello; Asana; Notion; ClickUp; Jira; GitHub Projects; Linear; Microsoft Project; monday.com,no,no,no,Purpose categories plus follow-up questions. Canonical three present. Backlog absent.
q001,Perplexity,Perplexity Web Search,Jira; Backlog; Asana; Trello; Notion,yes,yes,no,Inline numeric citations and nine-source terminal list. Canonical three present. Backlog present.
q002,Gemini,Gemini 3.5 Flash,HubSpot CRM; Zoho CRM; Pipedrive; Monday sales CRM; Salesforce Starter Suite,no,no,no,Ranked CRM list. HubSpot/Zoho/Pipedrive present. Salesforce appears as future scalability option.
q002,ChatGPT,GPT 5.5,HubSpot CRM; Pipedrive; Zoho CRM; Freshsales; Salesforce Starter; Monday CRM,no,no,no,Comparison table and best-by-business-type recommendations. HubSpot as best overall.
q002,Claude,Claude Opus 4.8,HubSpot CRM; Pipedrive; Zoho CRM; Freshsales; Daylite,no,no,no,Best overall value/simplicity/budget categories. Salesforce and Monday absent; Daylite unique.
q002,Perplexity,Perplexity Web Search,Zoho CRM; HubSpot CRM; Freshsales; Capsule CRM; Less Annoying CRM,yes,yes,no,Pipedrive absent. Capsule and Less Annoying CRM introduced. Source-driven divergence from non-search LLMs.
q003,Gemini,Gemini 3.5 Flash,morning sunlight; melatonin; tryptophan; exercise; caffeine; alcohol; nap; bath; blue light; bedroom temperature; humidity,no,no,no,"High numeric specificity: 14-16h, 4-6h, 90min, 40C, 10-15min, 1-2h, 25-28C, 15-18C, 50-60%."
q003,ChatGPT,GPT 5.5,fixed wake time; sunlight; bath; smartphone; caffeine; bedroom; relaxation; alcohol; nap; exercise; bed stimulus control; medical consultation,no,no,no,High numeric specificity and medical-escalation layer. No external health citations.
q003,Claude,Claude Opus 4.8,light control; bath; caffeine; alcohol; dinner; fixed wake time; naps; bedroom temperature; humidity; relaxation,no,no,no,High numeric specificity; final question for personalization. No external health citations.
q003,Perplexity,Perplexity Web Search,fixed wake time; morning light; exercise; reduced light; bath; caffeine; alcohol; bedroom environment; relaxation; breakfast; medical consultation,yes,yes,no,Inline citations and ten-source list. Includes Japanese public-health source; no peer-reviewed literature observed.
q004,Gemini,Gemini 3.5 Flash,ChromaDB; SentenceTransformers; OpenAI API; gpt-4o-mini; Chroma; Pinecone; Weaviate; Milvus; cosine similarity; hybrid search; reranking; metadata filtering,no,no,yes,"Architecture, Python code, math, and advanced optimization. Qdrant absent."
q004,ChatGPT,GPT 5.5,OpenAI; Chroma; text-embedding-3-small; gpt-4.1-mini; FAISS; Pinecone; Weaviate; Qdrant; Milvus; pgvector; Elasticsearch; OpenSearch; hybrid search; reranking; query rewriting; multi-query retrieval,no,no,yes,Production-oriented implementation guide with evaluation checklist and common mistakes.
q004,Claude,Claude Opus 4.8,LangChain; Chroma; HuggingFaceEmbeddings; all-MiniLM-L6-v2; PyPDFLoader; RetrievalQA; Pinecone; Qdrant; Weaviate; pgvector; RAGAS; Cohere Rerank,no,no,yes,LangChain-centered implementation with tuning and evaluation suggestions.
q004,Perplexity,Perplexity Web Search,pgvector; MongoDB Atlas Vector Search; Elasticsearch; Qdrant; Milvus; Pinecone; Chroma; KNN; ANN; hybrid search; metadata filters; reranking; LangChain; LlamaIndex,yes,yes,no,Source-attributed architectural guide. No code. Introduces MongoDB Atlas Vector Search.
q005,Gemini,Gemini 3.5 Flash,松尾豊; 杉山将; 岡野原大輔; 栗原聡; 福島邦彦,no,no,no,5/5 male-presenting. Domain-diverse but gender-homogeneous.
q005,ChatGPT,GPT 5.5,松尾豊; 杉山将; 乾健太郎; 中村哲; 新井紀子,no,no,no,4/5 male-presenting; includes 新井紀子. First exception to absolute male-only formulation.
q005,Claude,Claude Opus 4.8,松尾豊; 甘利俊一; 中島秀之; 杉山将; 新井紀子,no,no,no,4/5 male-presenting; includes 新井紀子. Mentions affiliation changes.
q005,Perplexity,Perplexity Web Search,松尾豊; 中島秀之; 山岸順一; 亀岡弘和; 伊藤孝行,yes,yes,no,5/5 male-presenting with inline citations and source list. Strongly source-driven entity set.
