query_id,system,model,entities,inline_citations,terminal_sources,code,notes
q001,Gemini,gemini-3.5-flash,Trello; Asana; monday.com; Notion; Backlog; Jira Software,no,no,no,"Recommends six project management tools organized by team size and use case, with features and pricing plus a selection guide."
q001,ChatGPT,gpt-5.5-2026-04-23,Notion; Trello; Asana; Jira; Backlog; ClickUp,no,no,no,Recommends six project management tools organized by use case with a summary of which to pick for different team types.
q001,Claude,claude-opus-4-8,Trello; Todoist; Asana; Notion; ClickUp; Jira; GitHub Projects,no,no,no,"Categorizes seven project management tools by team size and use case, then asks clarifying questions to narrow recommendations."
q001,Perplexity,sonar,Asana; Backlog; Jira; Notion; Trello; Wrike; Jooto; Redmine; monday.com,yes,yes,no,"Recommends several project management tools with inline citation markers and usage-based selection guidance, but no terminal source list. Terminal sources are present in the provider's structured citations array (20)."
q002,Gemini,gemini-3.5-flash,HubSpot CRM; Pipedrive; Zoho CRM; Copper; Less Annoying CRM,no,no,no,"A categorized breakdown of five small business CRMs with pros, cons, pricing, a comparison table, and a decision guide, without any citations or sources."
q002,ChatGPT,gpt-5.5-2026-04-23,HubSpot CRM; Zoho CRM; Pipedrive; Freshsales; Salesforce Starter; Monday Sales CRM,no,no,no,"Recommends HubSpot CRM as the top pick with a comparison table of six CRMs by use case, but includes no citations or sources."
q002,Claude,claude-opus-4-8,HubSpot CRM; Pipedrive; Freshsales; Zoho CRM; Copper; Salesforce,no,no,no,Groups CRM recommendations by strength category and ends with clarifying questions to refine advice.
q002,Perplexity,sonar,Salesforce; HubSpot CRM; Bigin by Zoho CRM; Pipedrive; Zoho CRM; NetHunt CRM; Freshsales,yes,yes,no,"A CRM recommendation with inline citations and a comparison table matching CRMs to business styles, topped by Salesforce, HubSpot, and Bigin as key picks."
q003,Gemini,gemini-3.5-flash,,no,no,no,"This Japanese response gives sleep-quality tips organized into four categories plus a three-step starter list, with no products, citations, or code."
q003,ChatGPT,gpt-5.5-2026-04-23,毎日同じ時間に起きる; 朝に日光を浴びる; 寝る前のスマホ・PCを減らす; カフェインは午後以降控える; 寝る前のルーティンを作る; 入浴は寝る1〜2時間前に; 寝室を快適にする; 寝る直前の食事・飲酒を避ける; 日中に軽く運動する; 眠れないときは一度ベッドを出る,no,no,no,A structured 10-point list of sleep-quality tips with a summary of top three priorities and advice to see a doctor for persistent symptoms.
q003,Claude,claude-opus-4-8,,no,no,no,"A structured lifestyle guide with tips on pre-sleep habits, daytime routines, sleep environment, and rhythm, without citing specific products or sources."
q003,Perplexity,sonar,毎日ほぼ同じ時刻に起きる; 朝起きたら光を浴びる; 寝る1時間前はスマホ・PCを減らす; 夕方〜就寝3時間前までに軽い運動をする; 寝室を暗く・静か・快適にする,yes,yes,no,Lists five sleep-quality tips in Japanese with inline citation markers but no terminal source list or code. Terminal sources are present in the provider's structured citations array (18).
q004,Gemini,gemini-3.5-flash,LangChain; Chroma; OpenAI; FAISS; SQLite (sqlite-vss); Pinecone; Qdrant; Milvus; pgvector; MongoDB Atlas; Elasticsearch; Cohere Rerank; BGE-Reranker,no,no,yes,A step-by-step RAG tutorial with a LangChain/Chroma/OpenAI Python code example and production best practices listing many vector database options.
q004,ChatGPT,gpt-5.5-2026-04-23,Chroma; FAISS; Pinecone; Qdrant; Weaviate; Milvus; Postgres + pgvector; OpenAI API,no,no,yes,"A detailed RAG tutorial covering architecture, vector database options, and end-to-end Chroma/OpenAI code with production best practices, but no citations or references."
q004,Claude,claude-opus-4-8,ChromaDB; Pinecone; Weaviate; Qdrant; pgvector; FAISS; LangChain; LlamaIndex,no,no,yes,"A practical RAG implementation guide with Python code examples, a comparison table of vector databases, tips, and framework suggestions."
q004,Perplexity,sonar,LangChain; Qdrant; FAISS; Pinecone; BM25,yes,yes,no,"A conceptual RAG-with-vector-DB pipeline walkthrough with inline citation markers but no end reference list or code block, offering follow-up examples. Terminal sources are present in the provider's structured citations array (20)."
q005,Gemini,gemini-3.5-flash,松尾豊; 杉山将; 福島邦彦; 甘利俊一; 北野宏明,no,no,no,"Presents five representative Japanese AI researchers with their affiliations, specialties, and achievements, plus a summary categorization."
q005,ChatGPT,gpt-5.5-2026-04-23,松尾豊; 杉山将; 辻井潤一; 北野宏明; 中島秀之,no,no,no,Lists five prominent Japanese AI researchers with brief descriptions and a caveat that the selection is one example.
q005,Claude,claude-opus-4-8,松尾豊; 甘利俊一; 石黒浩; 中島秀之; 新井紀子,no,no,no,"Lists five notable Japanese AI researchers with brief bios and a disclaimer about knowledge limitations, without citations."
q005,Perplexity,sonar,松尾豊; 石黒浩; 栗原聡; 松原仁; 甘利俊一,yes,yes,no,"Lists five representative Japanese AI researchers with brief descriptions and inline citation markers, offering to narrow the list further."
