query_id,system,model,entities,inline_citations,terminal_sources,code,notes
q001,Gemini,gemini-3.5-flash,Trello; Asana; Notion; Backlog; Jira Software; monday.com; ClickUp,no,no,no,Categorized recommendation of seven project management tools with a selection guide but no citations or code.
q001,ChatGPT,gpt-5.5-2026-04-23,Asana; Trello; Notion; Backlog; Jira; monday.com,no,no,no,"Recommends six project management tools with use cases, a purpose-based comparison table, and personal picks, but no citations or code."
q001,Claude,claude-opus-4-8,Trello; Asana; Notion; ClickUp; monday.com; Jira; GitHub Projects; Microsoft Project; Wrike,no,no,no,"Categorized list of nine project management tools grouped by use case, ending with selection criteria and follow-up questions."
q001,Perplexity,sonar,Asana; Trello; Backlog; Jira; Notion; Bitrix24,yes,yes,no,"Recommends four main project management tools with inline citations and a use-case table adding Notion and Bitrix24, offering to narrow down further."
q002,Gemini,gemini-3.5-flash,HubSpot CRM; Zoho CRM; Pipedrive; Copper; Monday.com CRM,no,no,no,"A categorized breakdown of five recommended small-business CRMs with pros, cons, pricing, and a selection cheat sheet, but no citations or sources."
q002,ChatGPT,gpt-5.5-2026-04-23,HubSpot CRM; Zoho CRM; Pipedrive; Less Annoying CRM; Freshsales; Salesforce Starter,no,no,no,Recommends six CRMs led by HubSpot with use-case breakdowns but no citations or sources.
q002,Claude,claude-opus-4-8,HubSpot CRM; Zoho CRM; Pipedrive; Close; Freshsales; Less Annoying CRM; Salesforce,no,no,no,Recommends seven CRMs grouped by priority with clarifying questions and highlights HubSpot and Pipedrive as safe starting picks.
q002,Perplexity,sonar,Zoho CRM; HubSpot CRM; Pipedrive; Salesforce; Bigin by Zoho CRM,yes,yes,no,"Recommends five small-business CRMs with inline citations and a default pick of Zoho CRM, but no terminal source list. Terminal sources are present in the provider's structured citations array (20)."
q003,Gemini,gemini-3.5-flash,,no,no,no,"A structured Japanese guide on improving sleep quality organized into morning habits, pre-sleep routines, bedroom environment, and NG habits, with no products or citations."
q003,ChatGPT,gpt-5.5-2026-04-23,起きる時間を固定する; 朝に日光を浴びる; 寝る前のスマホ・PCを控える; カフェインは午後以降控える; 寝る前の飲酒を避ける; 寝室を快適にする; 寝る前のルーティンを作る; 入浴は寝る1〜2時間前に; 昼寝は短めにする; 寝床で考え事をしない,no,no,no,"A structured list of ten sleep-quality tips with a top-three summary and advice to see a doctor for persistent symptoms, no citations."
q003,Claude,claude-opus-4-8,,no,no,no,"A structured guide of sleep-quality tips (light, bathing, diet, environment, rhythm) with no specific products or citations."
q003,Perplexity,sonar,起床時間を一定にする; 朝に日光を浴びる; 寝る前のスマホ・PCを控える; 夕食は寝る2〜3時間前まで; 就寝前のぬるめの入浴; 日中の運動; 寝室環境を整える; カフェイン・アルコールの摂取時間に注意,yes,yes,no,"A Japanese list of sleep-hygiene tips with inline numeric citations but no terminal source list, ending with advice to consult a doctor for persistent issues. Terminal sources are present in the provider's structured citations array (20)."
q004,Gemini,gemini-3.5-flash,Python; LangChain; ChromaDB; OpenAI; Pinecone; Milvus; Qdrant; pgvector; Weaviate; Cohere; HuggingFace,no,no,yes,"A step-by-step RAG tutorial using LangChain, ChromaDB, and OpenAI with full Python code, plus sections on chunking, vector DB options, embeddings, and advanced techniques."
q004,ChatGPT,gpt-5.5-2026-04-23,Chroma; FAISS; Pinecone; Weaviate; Qdrant; Milvus; OpenAI embeddings; Cohere embeddings; Hugging Face sentence-transformers; Voyage AI embeddings; OpenAI GPT models; Anthropic Claude; Mistral; Llama-based local models,no,no,yes,"A detailed step-by-step RAG tutorial using Python, OpenAI, and Chroma, covering indexing, retrieval, generation, and production improvements with extensive code examples."
q004,Claude,claude-opus-4-8,Chroma; Pinecone; Weaviate; Qdrant; pgvector; FAISS; LangChain; LlamaIndex,no,no,yes,"A practical RAG implementation guide with Python code using sentence-transformers and ChromaDB, plus a comparison table of vector databases and tips on chunking, hybrid search, and frameworks."
q004,Perplexity,sonar,Qdrant; pgvector/Postgres; Chroma; Milvus; Weaviate; OpenAI embeddings; sentence-transformers; LangChain; LlamaIndex,yes,yes,yes,"A step-by-step RAG pipeline explanation with inline citations, a pseudo-architecture code block, and suggested tool stacks, but no terminal sources list. Terminal sources are present in the provider's structured citations array (16)."
q005,Gemini,gemini-3.5-flash,福島邦彦; 松尾豊; 杉山将; 北野宏明; 辻井潤一,no,no,no,"Lists five prominent Japanese AI researchers with detailed bios covering their fields and achievements, without any citations or sources."
q005,ChatGPT,gpt-5.5-2026-04-23,甘利俊一; 松尾豊; 杉山将; 辻井潤一; 長尾真,no,no,no,Lists five notable Japanese AI researchers with brief descriptions but no citations or sources.
q005,Claude,claude-opus-4-8,松尾豊; 甘利俊一; 中島秀之; 辻井潤一; 石黒浩,no,no,no,"Lists five notable Japanese AI researchers with brief affiliations and caveats, but no citations or sources."
q005,Perplexity,sonar,松尾豊; 石黒浩; 原田達也; 山岸順一; 小野順貴,yes,yes,no,"Lists five Japanese AI researchers with inline citation markers but no terminal source list, and offers to break down by category. Terminal sources are present in the provider's structured citations array (20)."
